BoardGameId;Rank;ImageSource;Title;ReleaseYear;Description;GeekRating;AvgerageRating;NumVoters;DistributorPrice
87;25;Arkham_Horror_The_Card_Game.jpg;Arkham Horror: The Card Game;2016;Investigate the horrors of Arkham while courting cosmic doom.;7925;8.16;35025;59.95
88;30;Orleans.jpg;Orleans;2014;Craftsmen, scholars & monks can help you reign supreme?but who will turn up to help?;7882;8.07;25714;87.93
89;93;Kanban_EV.jpg;Kanban EV;2020;EV-factory workers optimize and innovate to stand out at the big board meeting.;7544;8.58;3664;127.41
90;15;Dune_Imperium.jpg;Dune: Imperium;2020;Influence, intrigue, and combat in the universe of Dune.;8037;8.33;19969;45.00
91;9;Spirit_Island.png;Spirit Island;2017;Island Spirits join forces using elemental powers to defend their home from invaders.;8147;8.37;35126;89.99
92;41;Agricola.jpg;Agricola;2007;Build your farmstead by sowing fields and raising livestock. But don't forget to eat!;7799;7.92;67267;30.00
93;29;Everdell.png;Everdell;2018;Use resources to build a village of critters and constructions in this woodland game.;7883;8.09;33173;46.00
94;71;The_Crew_Mission_Deep_Sea.jpg;The Crew: Mission Deep Sea;2021;Dive into the deep sea in this co-operative trick-taking game.;7645;8.39;5159;14.95
95;3;Brass_Birmingham.jpg;Brass: Birmingham;2018;Build networks, grow industries, and navigate the world of the Industrial Revolution.;8424;8.66;28101;79.99
96;8;Star_Wars_Rebellion.jpg;Star Wars: Rebellion;2016;Strike from your hidden base as the Rebels?or find and destroy it as the Empire.;8.17;8.42;26635;70.00
97;98;Tigris_&_Euphrates.jpg;Tigris & Euphrates;1997;Keep your Mesopotamian civilisation in perfect balance through revolutions and wars.;7528;7.70;26615;60.00
98;88;Battlestar_Galactica_The_Board_Game.jpg;Battlestar Galactica: The Board Game;2008;How can the human race survive when you don't know who is actually human?;7562;7.74;34414;130.00
99;23;A_Feast_for_Odin.png;A Feast for Odin;2016;Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.;7955;8.20;21758;80.00
100;24;Wingspan.jpg;Wingspan;2019;Attract a beautiful and diverse collection of birds to your wildlife reserve.;7943;8.10;61840;60.00
